epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6037,0.86365,3.26095,1.01986,0.03211,0.83333,0.258,0.23304,0.47932,3.0573,0.81627,0.00010003,0.00010003,0.00010003
2,43.6342,0.66809,2.80023,0.89632,0.03228,0.94722,0.38136,0.32159,0.4848,2.96875,0.79477,0.000212228,0.000212228,0.000212228
3,64.4012,0.61288,2.33251,0.88747,0.0308,0.93333,0.45193,0.40341,0.46372,2.9191,0.79887,0.000322162,0.000322162,0.000322162
4,84.9521,0.66564,1.97428,0.89522,0.03098,0.94722,0.55963,0.485,0.5151,2.86727,0.80915,0.000429833,0.000429833,0.000429833
5,105.644,0.66275,1.55635,0.90073,0.04489,0.86389,0.71794,0.63889,0.53503,2.74137,0.83285,0.000535241,0.000535241,0.000535241
6,126.397,0.66082,1.21035,0.91068,0.95493,0.40921,0.80004,0.693,0.62117,2.436,0.86171,0.000638384,0.000638384,0.000638384
7,147.21,0.65553,1.04344,0.92043,0.89638,0.46404,0.77049,0.62923,0.72892,2.14535,0.88515,0.000739265,0.000739265,0.000739265
8,167.85,0.58045,0.93429,0.89433,0.81079,0.573,0.85201,0.72875,0.60559,1.81258,0.84458,0.000837881,0.000837881,0.000837881
9,188.483,0.58269,0.8796,0.8865,0.91132,0.58301,0.90933,0.78184,0.58466,1.81582,0.83815,0.000934234,0.000934234,0.000934234
10,209.198,0.55981,0.82605,0.87439,0.92873,0.61877,0.85216,0.77707,0.47265,1.7215,0.82269,0.00102832,0.00102832,0.00102832
11,229.857,0.55936,0.76903,0.87077,0.89515,0.75799,0.91254,0.82711,0.50169,1.6001,0.82008,0.00112015,0.00112015,0.00112015
12,250.396,0.56349,0.74442,0.86406,0.93931,0.81282,0.93268,0.80866,0.61509,1.51738,0.85013,0.00120971,0.00120971,0.00120971
13,270.901,0.61505,0.76495,0.87804,0.95792,0.86164,0.93867,0.82723,0.54584,1.22429,0.83726,0.00125923,0.00125923,0.00125923
14,291.551,0.58751,0.72053,0.87817,0.90459,0.89163,0.93038,0.83681,0.50033,1.19892,0.82537,0.00124509,0.00124509,0.00124509
15,312.131,0.60298,0.70255,0.8808,0.97159,0.90833,0.95001,0.86578,0.47547,0.97323,0.82983,0.00123094,0.00123094,0.00123094
16,332.829,0.56617,0.69017,0.86877,0.94364,0.90414,0.95464,0.86435,0.45303,0.80777,0.82637,0.00121679,0.00121679,0.00121679
17,353.554,0.51336,0.66073,0.86101,0.9807,0.87648,0.96244,0.89068,0.41519,0.80003,0.81626,0.00120265,0.00120265,0.00120265
18,374.147,0.52658,0.64987,0.86343,0.95193,0.92949,0.95674,0.85554,0.49223,0.77179,0.83078,0.0011885,0.0011885,0.0011885
19,394.597,0.49687,0.61582,0.85444,0.93979,0.93908,0.95378,0.87944,0.43331,0.75046,0.81624,0.00117435,0.00117435,0.00117435
20,415.149,0.51686,0.61244,0.86072,0.96095,0.96154,0.97952,0.8888,0.4153,0.62615,0.81412,0.00116021,0.00116021,0.00116021
21,436.165,0.50316,0.60982,0.85172,0.95478,0.9671,0.96682,0.89485,0.39878,0.60203,0.81106,0.00114606,0.00114606,0.00114606
22,456.992,0.4901,0.59029,0.84821,0.95686,0.95409,0.96784,0.9034,0.40052,0.58826,0.81322,0.00113191,0.00113191,0.00113191
23,477.491,0.52026,0.58984,0.85424,0.95784,0.96806,0.96521,0.90616,0.37568,0.57465,0.80835,0.00111776,0.00111776,0.00111776
24,497.873,0.50179,0.58965,0.85115,0.96603,0.94799,0.95351,0.89088,0.39165,0.59626,0.80732,0.00110362,0.00110362,0.00110362
25,518.376,0.48428,0.58794,0.85418,0.9729,0.94215,0.95617,0.89408,0.38729,0.58964,0.81496,0.00108947,0.00108947,0.00108947
26,538.946,0.49831,0.56947,0.85489,0.93737,0.9627,0.97371,0.9072,0.40376,0.54957,0.81409,0.00107532,0.00107532,0.00107532
27,559.255,0.49534,0.58423,0.85601,0.97026,0.96111,0.97854,0.92058,0.37082,0.51481,0.8056,0.00106118,0.00106118,0.00106118
28,579.784,0.48502,0.57099,0.84744,0.98724,0.975,0.98316,0.90764,0.3984,0.51873,0.81075,0.00104703,0.00104703,0.00104703
29,600.378,0.48797,0.55078,0.84369,0.97796,0.95723,0.9842,0.92327,0.36438,0.53121,0.80241,0.00103288,0.00103288,0.00103288
30,621.625,0.4907,0.53469,0.85156,0.94676,0.97122,0.98611,0.92769,0.36024,0.52091,0.80092,0.00101873,0.00101873,0.00101873
