epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.99321,1.23872,3.62082,1.12698,0.00237,0.07407,0.00521,0.00444,0.92463,3.81951,1.00274,1.429e-05,1.429e-05,1.429e-05
2,13.3342,1.21254,3.5196,1.12507,0.00365,0.11111,0.01888,0.01586,0.82827,3.69909,0.93858,4.24456e-05,4.24456e-05,4.24456e-05
3,19.7213,1.20352,3.40878,1.08413,0.01077,0.33333,0.06638,0.04932,0.76098,3.60006,0.89013,7.00353e-05,7.00353e-05,7.00353e-05
4,25.823,1.25151,3.41873,1.09569,0.03786,0.74074,0.20386,0.1522,0.86032,3.48278,0.867,9.70591e-05,9.70591e-05,9.70591e-05
5,31.761,1.23789,3.22999,1.10692,0.04305,0.81481,0.21473,0.15968,0.88787,3.45961,0.86274,0.000123517,0.000123517,0.000123517
6,37.3905,1.38541,3.11432,1.17478,0.0452,0.92593,0.29019,0.18339,0.88293,3.47857,0.85828,0.000149409,0.000149409,0.000149409
7,43.0893,1.17726,2.97019,1.09259,0.04312,0.92593,0.31097,0.15466,0.94577,3.51664,0.88653,0.000174735,0.000174735,0.000174735
8,48.5582,1.25351,2.9451,1.08234,0.03896,0.88889,0.29727,0.17232,0.88451,3.48753,0.8622,0.000199496,0.000199496,0.000199496
9,54.0332,1.24005,2.64179,1.10601,0.03778,0.88889,0.3181,0.19681,0.83061,3.43449,0.82321,0.00022369,0.00022369,0.00022369
10,59.4914,1.2016,2.57783,1.06923,0.03699,0.88889,0.32199,0.20516,0.82405,3.396,0.80992,0.000247318,0.000247318,0.000247318
11,65.0608,1.2136,2.46124,1.09327,0.03767,0.92593,0.32933,0.19663,0.8087,3.39212,0.81027,0.000270381,0.000270381,0.000270381
12,70.8388,1.14993,2.37792,1.08074,0.0387,0.92593,0.33144,0.21332,0.84048,3.38594,0.8168,0.000292878,0.000292878,0.000292878
13,76.3797,1.3166,2.358,1.09815,0.03809,0.92593,0.34639,0.2244,0.93629,3.35367,0.83658,0.000314809,0.000314809,0.000314809
14,81.9657,1.24928,2.2747,1.04678,0.03573,0.88889,0.34884,0.21926,0.96705,3.33535,0.84899,0.000336174,0.000336174,0.000336174
15,87.4335,1.08335,2.15414,0.93891,0.03545,0.85185,0.39928,0.26915,0.89395,3.30364,0.83725,0.000356973,0.000356973,0.000356973
16,93.0053,1.18025,2.06056,1.04299,0.03074,0.77778,0.4436,0.31055,0.84805,3.2733,0.83734,0.000377206,0.000377206,0.000377206
17,98.6216,1.17493,1.94392,1.085,0.02919,0.77778,0.47164,0.32227,0.83305,3.27214,0.84254,0.000396873,0.000396873,0.000396873
18,104.222,1.16609,1.87825,1.01622,0.02818,0.77778,0.53479,0.372,0.88823,3.23038,0.84021,0.000415975,0.000415975,0.000415975
19,109.784,1.13712,1.75273,1.04164,0.02699,0.77778,0.51485,0.37202,0.89527,3.21354,0.8418,0.00043451,0.00043451,0.00043451
20,115.454,1.07693,1.62889,1.03363,0.02825,0.81481,0.50112,0.36984,0.8891,3.17251,0.84775,0.00045248,0.00045248,0.00045248
21,120.982,1.06908,1.65005,1.00233,0.02762,0.81481,0.5127,0.39348,0.87659,3.12873,0.84899,0.000469884,0.000469884,0.000469884
22,126.379,1.22073,1.61806,1.09482,0.02684,0.81481,0.51591,0.39837,0.92644,3.12302,0.87137,0.000486722,0.000486722,0.000486722
23,131.954,0.98269,1.44684,0.98837,0.02541,0.77778,0.49424,0.37575,0.95626,3.11345,0.88923,0.000502994,0.000502994,0.000502994
24,137.459,1.06651,1.42268,0.99049,0.02591,0.77778,0.50135,0.35268,0.96209,3.09858,0.89971,0.0005187,0.0005187,0.0005187
25,142.907,1.08264,1.4204,1.0423,0.027,0.81481,0.54378,0.36655,1.06123,3.10858,0.91213,0.00053384,0.00053384,0.00053384
26,148.301,1.08518,1.34196,1.00984,0.02726,0.81481,0.52306,0.35,1.0392,3.0746,0.9102,0.000548414,0.000548414,0.000548414
27,153.798,1.16906,1.38234,1.05343,0.0245,0.77778,0.4747,0.34294,0.95519,3.03024,0.89573,0.000562423,0.000562423,0.000562423
28,159.131,1.09708,1.35808,1.00535,0.0245,0.77778,0.4747,0.34294,0.95519,3.03024,0.89573,0.000575866,0.000575866,0.000575866
29,164.796,1.07897,1.29891,1.01706,0.02935,0.77778,0.52294,0.37823,0.97294,3.00178,0.8906,0.000588742,0.000588742,0.000588742
30,170.369,1.07992,1.24468,1.02776,0.56752,0.33333,0.56024,0.39295,1.06129,2.96222,0.89765,0.000601053,0.000601053,0.000601053
31,175.779,1.01437,1.23729,0.96357,0.56752,0.33333,0.56024,0.39295,1.06129,2.96222,0.89765,0.000612798,0.000612798,0.000612798
32,181.214,0.95742,1.11485,0.96367,0.61669,0.45229,0.60403,0.44352,0.96352,2.91955,0.87995,0.000623977,0.000623977,0.000623977
33,186.717,1.0121,1.25053,0.9895,1,0.08633,0.5743,0.43002,0.92085,2.91611,0.86395,0.00063459,0.00063459,0.00063459
34,192.145,0.99645,1.15493,0.97468,1,0.08633,0.5743,0.43002,0.92085,2.91611,0.86395,0.000644638,0.000644638,0.000644638
35,197.516,0.87058,1.03957,0.94424,0.67035,0.09853,0.59458,0.4673,0.91307,2.91474,0.87522,0.000654119,0.000654119,0.000654119
36,202.86,0.98982,1.09549,0.98962,0.93749,0.07407,0.58595,0.40289,0.9966,2.90715,0.88696,0.000663035,0.000663035,0.000663035
37,208.031,1.05665,1.0777,0.99982,0.93749,0.07407,0.58595,0.40289,0.9966,2.90715,0.88696,0.000671384,0.000671384,0.000671384
38,213.51,1.03166,1.10457,1.02243,0.92297,0.07407,0.57826,0.38833,1.0063,2.88604,0.90139,0.000679168,0.000679168,0.000679168
39,219.177,0.99533,1.13877,0.95839,0.62254,0.07893,0.59083,0.44219,0.88929,2.82165,0.8835,0.000686386,0.000686386,0.000686386
40,224.45,0.94923,1.10565,1.0346,0.62254,0.07893,0.59083,0.44219,0.88929,2.82165,0.8835,0.000693038,0.000693038,0.000693038
41,229.898,0.91008,1.02944,0.96584,0.68591,0.18608,0.63798,0.48486,0.87616,2.70957,0.89373,0.000699124,0.000699124,0.000699124
42,235.274,0.96491,1.03831,0.99368,0.81046,0.36024,0.69059,0.49862,0.99654,2.58284,0.94692,0.000704644,0.000704644,0.000704644
43,240.582,0.98519,1.09031,0.95595,0.81046,0.36024,0.69059,0.49862,0.99654,2.58284,0.94692,0.000709599,0.000709599,0.000709599
