epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.97879,1.70979,3.35184,1.39197,0.01333,0.63158,0.01893,0.00847,1.10004,3.2053,1.22602,4e-05,4e-05,4e-05
2,14.2624,1.59377,3.24978,1.31235,0.01778,0.84211,0.03886,0.02167,1.10135,3.09105,1.18067,9.901e-05,9.901e-05,9.901e-05
3,20.5246,1.70532,2.89541,1.47306,0.01778,0.84211,0.28833,0.17741,1.37972,2.84689,1.16749,0.000156832,0.000156832,0.000156832
4,26.4934,1.36254,2.0997,1.09765,0.01778,0.84211,0.6241,0.34942,1.23028,2.74289,1.167,0.000213466,0.000213466,0.000213466
5,32.482,1.18798,1.43452,1.11496,0.01889,0.89474,0.64818,0.319,1.37669,2.58795,1.17008,0.000268912,0.000268912,0.000268912
6,38.6476,1.72005,2.35787,1.40862,0.01778,0.84211,0.71106,0.31602,1.35749,2.49632,1.18474,0.00032317,0.00032317,0.00032317
7,44.6731,1.2313,1.4338,1.05363,0.02,0.94737,0.61023,0.28395,1.24115,2.58061,1.16466,0.00037624,0.00037624,0.00037624
8,50.5985,1.37528,1.45583,1.13623,0.02,0.94737,0.29549,0.16091,1.09518,2.73639,1.15453,0.000428122,0.000428122,0.000428122
9,56.4306,1.21014,1.47539,1.16722,0.01444,0.68421,0.08616,0.05354,1.35411,2.941,1.36543,0.000478816,0.000478816,0.000478816
10,62.2422,1.50034,1.69757,1.33765,0.01556,0.73684,0.09379,0.05015,1.31526,2.96036,1.37438,0.000528322,0.000528322,0.000528322
11,68.3361,1.12571,1.40071,1.15801,0.01667,0.78947,0.1858,0.11639,1.29017,2.96557,1.43042,0.00057664,0.00057664,0.00057664
12,74.2625,1.39166,1.58045,1.32648,0.01556,0.73684,0.08862,0.04857,1.30688,3.03726,1.49072,0.00062377,0.00062377,0.00062377
13,80.2497,1.32024,1.36916,1.0855,0.01333,0.63158,0.01978,0.0097,1.43627,3.28218,1.64956,0.000669712,0.000669712,0.000669712
14,86.2004,1.31108,2.10245,1.34523,0.01222,0.57895,0.01643,0.0069,1.56064,3.47252,1.82359,0.000714466,0.000714466,0.000714466
15,92.1796,1.34722,1.29058,1.16289,0.03558,0.05263,0.02904,0.00896,2.01199,3.71288,2.26377,0.000758032,0.000758032,0.000758032
16,98.1496,1.26142,1.53575,1.22881,0.13757,0.05263,0.03113,0.00761,1.98808,3.57398,2.21189,0.00080041,0.00080041,0.00080041
17,104.149,1.65651,1.81892,1.51982,0.01222,0.57895,0.02173,0.00961,1.6833,3.27432,1.78633,0.0008416,0.0008416,0.0008416
18,109.78,1.32074,1.29918,1.15921,0.01731,0.05263,0.01078,0.0044,1.79689,3.50766,1.97868,0.000881602,0.000881602,0.000881602
19,115.56,1.70929,1.83428,1.52643,0.03434,0.05263,0.01197,0.0053,1.8065,3.53257,1.94401,0.000920416,0.000920416,0.000920416
20,121.457,1.10329,1.11497,0.97315,0.18138,0.05263,0.03029,0.01638,1.64569,3.24142,1.69317,0.000958042,0.000958042,0.000958042
21,127.415,1.14769,1.13058,1.09832,0.39599,0.05263,0.05437,0.03852,1.61967,3.02308,1.62624,0.00099448,0.00099448,0.00099448
22,133.246,1.09061,1.09497,1.03375,0.4722,0.05263,0.04781,0.02888,1.62742,3.15402,1.63342,0.00102973,0.00102973,0.00102973
23,139.227,1.4508,2.16363,1.33431,0.475,0.05263,0.03532,0.02508,1.806,3.36337,1.81857,0.00106379,0.00106379,0.00106379
24,145.199,1.18595,1.40191,1.25325,0.32624,0.05263,0.0335,0.02123,1.93811,3.47296,1.84725,0.00109667,0.00109667,0.00109667
25,151.083,1.22573,1.18359,1.12366,0.46625,0.05263,0.03231,0.02065,1.87295,3.49167,1.80623,0.00112835,0.00112835,0.00112835
26,156.894,1.27324,1.24933,1.15683,0.15666,0.05263,0.2066,0.11865,1.62368,2.59742,1.4134,0.00115885,0.00115885,0.00115885
27,162.656,1.07049,0.98539,0.98945,0.69247,0.57895,0.70652,0.35236,1.46468,1.77192,1.391,0.00118816,0.00118816,0.00118816
28,168.305,1.25552,1.19907,1.16418,0.87204,0.71812,0.76786,0.3951,1.55613,1.57019,1.41549,0.00121628,0.00121628,0.00121628
29,173.917,0.85259,2.03201,1.04379,0.87204,0.71812,0.76786,0.3951,1.55613,1.57019,1.41549,0.00124322,0.00124322,0.00124322
30,179.703,0.97999,0.99163,1.00324,0.82618,0.75106,0.71865,0.39388,1.50113,1.59588,1.3723,0.00126896,0.00126896,0.00126896
31,185.457,0.99306,0.94684,1.00909,0.79066,0.59716,0.68137,0.3754,1.44272,1.79616,1.35177,0.00129352,0.00129352,0.00129352
32,191.069,1.06706,0.93225,1.01492,0.59419,0.46299,0.50085,0.26997,1.49482,2.07655,1.35818,0.00131689,0.00131689,0.00131689
33,196.669,0.96598,0.93891,1.0119,0.59419,0.46299,0.50085,0.26997,1.49482,2.07655,1.35818,0.00133907,0.00133907,0.00133907
34,202.36,1.03252,1.41995,1.05317,0.64667,0.38632,0.52682,0.26458,1.52273,2.28756,1.40111,0.0013466,0.0013466,0.0013466
35,207.983,1.22074,1.06243,1.12468,0.75951,0.36842,0.5057,0.27563,1.48615,2.41237,1.39267,0.0013268,0.0013268,0.0013268
36,213.653,1.08356,1.14131,1.15573,0.60825,0.36842,0.47327,0.25929,1.52121,2.30393,1.43143,0.001307,0.001307,0.001307
37,219.305,1.07038,0.93114,1.06986,0.60825,0.36842,0.47327,0.25929,1.52121,2.30393,1.43143,0.0012872,0.0012872,0.0012872
38,225.047,0.95417,0.86126,0.96198,0.59863,0.47368,0.42373,0.21693,1.69668,2.30802,1.50937,0.0012674,0.0012674,0.0012674
39,230.726,1.03663,0.94455,1.06363,0.44435,0.46341,0.30192,0.17967,1.67941,2.20433,1.52067,0.0012476,0.0012476,0.0012476
40,236.281,0.88984,0.8143,0.98618,0.59228,0.47368,0.45769,0.28773,1.62936,1.95417,1.59429,0.0012278,0.0012278,0.0012278
41,241.869,1.03149,0.83823,1.04699,0.59228,0.47368,0.45769,0.28773,1.62936,1.95417,1.59429,0.001208,0.001208,0.001208
42,247.551,0.88838,0.86713,0.9743,0.65233,0.36842,0.45493,0.32207,1.60254,1.73321,1.67953,0.0011882,0.0011882,0.0011882
43,253.227,1.03887,1.01292,1.07692,0.47382,0.52632,0.55472,0.33708,1.5801,1.65045,1.63821,0.0011684,0.0011684,0.0011684
44,258.997,1.13885,0.94032,1.03554,0.36272,0.52632,0.42466,0.29011,1.57219,1.72149,1.61685,0.0011486,0.0011486,0.0011486
45,264.612,0.86991,0.73894,0.94059,0.36272,0.52632,0.42466,0.29011,1.57219,1.72149,1.61685,0.0011288,0.0011288,0.0011288
46,270.162,0.86328,0.77542,0.95858,0.35848,0.47368,0.38793,0.26179,1.62427,1.82094,1.60932,0.001109,0.001109,0.001109
