epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.33106,1.30608,3.76618,1.17081,0.00125,0.03704,0.00019,0.00013,0.87685,3.8496,1.01566,1.429e-05,1.429e-05,1.429e-05
2,9.88814,1.26147,3.69325,1.15605,0.00346,0.11111,0.0021,0.00146,0.78135,3.74313,0.94213,4.24456e-05,4.24456e-05,4.24456e-05
3,13.9866,1.21214,3.52762,1.09985,0.00536,0.18519,0.06923,0.05556,0.7352,3.64966,0.90313,7.00353e-05,7.00353e-05,7.00353e-05
4,18.0367,1.22252,3.51032,1.08654,0.02014,0.66667,0.21698,0.15319,0.77847,3.51709,0.85977,9.70591e-05,9.70591e-05,9.70591e-05
5,22.164,1.27844,3.18544,1.07384,0.02437,0.81481,0.28628,0.21001,0.79014,3.43084,0.83731,0.000123517,0.000123517,0.000123517
6,26.1686,1.38989,2.82979,1.08134,0.02676,0.88889,0.37506,0.26272,0.82146,3.39769,0.8251,0.000149409,0.000149409,0.000149409
7,30.1425,1.20525,2.50605,1.0138,0.0279,0.92593,0.41325,0.23114,0.92135,3.34181,0.8371,0.000174735,0.000174735,0.000174735
8,34.0183,1.29978,2.33535,1.03559,0.02777,0.92593,0.39023,0.21987,0.94707,3.19592,0.829,0.000199496,0.000199496,0.000199496
9,37.8882,1.20616,2.0997,1.03003,0.31425,0.55556,0.40408,0.24634,0.96718,3.08305,0.82861,0.00022369,0.00022369,0.00022369
10,41.8172,1.19999,1.96382,1.00211,0.32263,0.40741,0.42511,0.28897,0.9446,2.96698,0.82786,0.000247318,0.000247318,0.000247318
11,45.6947,1.22801,1.92294,1.05023,0.3755,0.42286,0.45309,0.32131,0.87807,2.88225,0.82981,0.000270381,0.000270381,0.000270381
12,49.6077,1.15563,1.8237,1.01368,0.26184,0.66667,0.4292,0.30172,0.91138,2.87437,0.83824,0.000292878,0.000292878,0.000292878
13,53.5225,1.27744,1.78842,1.04053,0.02802,0.92593,0.44233,0.2918,0.94151,2.8703,0.84662,0.000314809,0.000314809,0.000314809
14,57.3699,1.15407,1.726,0.9734,0.0281,0.92593,0.46611,0.29864,0.91659,2.85495,0.83891,0.000336174,0.000336174,0.000336174
15,61.2388,1.02028,1.65066,0.91965,0.11138,0.85185,0.50472,0.34172,0.91981,2.80869,0.83569,0.000356973,0.000356973,0.000356973
16,65.1548,1.11427,1.55997,0.99929,0.54624,0.43311,0.50834,0.36008,0.89437,2.75797,0.83489,0.000377206,0.000377206,0.000377206
17,69.0845,1.16349,1.52911,1.02355,0.88824,0.29009,0.58933,0.42612,0.86913,2.69684,0.83424,0.000396873,0.000396873,0.000396873
18,72.9976,1.08397,1.46019,0.9845,0.87179,0.03704,0.60672,0.43489,0.86027,2.67998,0.82902,0.000415975,0.000415975,0.000415975
19,76.884,1.10695,1.43029,0.98517,0.76266,0.11111,0.60087,0.44154,0.81869,2.64142,0.82285,0.00043451,0.00043451,0.00043451
20,80.792,0.95794,1.2702,0.95919,0.62783,0.25059,0.57818,0.40981,0.88554,2.65546,0.84528,0.00045248,0.00045248,0.00045248
21,84.7224,1.04897,1.34678,0.95864,0.78646,0.17763,0.53615,0.38168,0.92905,2.69707,0.84896,0.000469884,0.000469884,0.000469884
22,88.5951,1.07387,1.32194,1.00787,0.75236,0.18519,0.50314,0.34116,0.96445,2.80374,0.85818,0.000486722,0.000486722,0.000486722
23,92.524,1.00762,1.24337,0.93462,0.75914,0.18519,0.45676,0.31984,0.97822,2.90556,0.86793,0.000502994,0.000502994,0.000502994
24,96.5443,1.03144,1.2457,0.93862,0.76056,0.14065,0.44844,0.3214,0.96887,2.97194,0.8857,0.0005187,0.0005187,0.0005187
25,100.593,0.99667,1.21382,0.9605,0.7713,0.139,0.4431,0.28671,1.0531,3.19729,0.94955,0.00053384,0.00053384,0.00053384
26,104.625,0.97862,1.17905,0.92665,0.75833,0.12159,0.46719,0.30671,1.07764,3.26913,0.97638,0.000548414,0.000548414,0.000548414
27,108.496,1.09111,1.25087,0.96213,0.83643,0.2223,0.53061,0.41485,0.95348,3.07553,0.94278,0.000562423,0.000562423,0.000562423
28,112.283,0.98212,1.20752,0.94359,0.83643,0.2223,0.53061,0.41485,0.95348,3.07553,0.94278,0.000575866,0.000575866,0.000575866
29,116.112,0.99096,1.11969,0.93395,0.76436,0.20663,0.56936,0.45413,0.99496,2.95723,0.95464,0.000588742,0.000588742,0.000588742
30,120.048,0.91551,1.03483,0.93224,1,0.1683,0.6096,0.46434,1.17418,2.96862,0.99638,0.000601053,0.000601053,0.000601053
31,123.887,0.93568,1.05652,0.91734,1,0.1683,0.6096,0.46434,1.17418,2.96862,0.99638,0.000612798,0.000612798,0.000612798
32,127.735,0.9289,0.95762,0.90229,0.97865,0.18519,0.65325,0.49498,1.11798,2.88291,0.96538,0.000623977,0.000623977,0.000623977
33,131.605,0.86347,1.05128,0.90663,1,0.21183,0.65357,0.48409,1.12573,2.83936,0.96179,0.00063459,0.00063459,0.00063459
34,135.422,0.81892,0.95243,0.88221,1,0.21183,0.65357,0.48409,1.12573,2.83936,0.96179,0.000644638,0.000644638,0.000644638
35,139.312,0.8141,0.90307,0.89471,0.95271,0.40944,0.58617,0.42931,1.2346,2.78819,0.99547,0.000654119,0.000654119,0.000654119
36,143.161,0.85339,0.92313,0.90122,0.83033,0.43964,0.54937,0.40585,1.18883,2.75198,0.97301,0.000663035,0.000663035,0.000663035
37,146.98,0.92549,0.92886,0.92602,0.83033,0.43964,0.54937,0.40585,1.18883,2.75198,0.97301,0.000671384,0.000671384,0.000671384
38,150.844,0.91469,0.97698,0.95458,0.73862,0.37612,0.54053,0.40178,1.02182,2.81097,0.93523,0.000679168,0.000679168,0.000679168
39,154.741,0.98009,0.96664,0.91046,0.76817,0.42649,0.54224,0.40731,1.02965,2.71422,0.94248,0.000686386,0.000686386,0.000686386
40,158.52,0.85756,0.88211,0.9673,0.76817,0.42649,0.54224,0.40731,1.02965,2.71422,0.94248,0.000693038,0.000693038,0.000693038
41,162.368,0.89782,0.88972,0.93329,0.75137,0.43949,0.56245,0.41208,1.14715,2.65142,0.98174,0.000699124,0.000699124,0.000699124
42,166.22,0.93422,0.89101,0.94534,0.77088,0.46604,0.57329,0.42169,1.09235,2.54251,0.9669,0.000704644,0.000704644,0.000704644
43,170.068,0.97145,0.972,0.92353,0.77088,0.46604,0.57329,0.42169,1.09235,2.54251,0.9669,0.000709599,0.000709599,0.000709599
44,173.928,0.82264,0.83003,0.90347,0.8297,0.54808,0.65349,0.52068,0.87853,2.34275,0.90446,0.000713987,0.000713987,0.000713987
45,177.746,0.90078,0.89213,1.0153,0.8297,0.54808,0.65349,0.52068,0.87853,2.34275,0.90446,0.00071781,0.00071781,0.00071781
46,181.606,0.80418,0.88086,0.91537,0.85812,0.56853,0.72261,0.52709,0.97153,2.23318,0.91585,0.000721066,0.000721066,0.000721066
47,185.429,0.93985,0.89246,0.93802,0.85812,0.56853,0.72261,0.52709,0.97153,2.23318,0.91585,0.000723757,0.000723757,0.000723757
48,189.323,0.85346,0.90586,0.90672,0.93529,0.63765,0.75817,0.52932,1.07713,2.21418,0.95168,0.000725882,0.000725882,0.000725882
49,193.118,0.93098,0.84875,0.94063,0.93529,0.63765,0.75817,0.52932,1.07713,2.21418,0.95168,0.000727441,0.000727441,0.000727441
50,196.979,0.82172,0.80818,0.91681,0.81346,0.57079,0.70817,0.46436,1.34622,2.20462,1.05099,0.000728434,0.000728434,0.000728434
51,200.754,1.05991,0.86945,0.96034,0.81346,0.57079,0.70817,0.46436,1.34622,2.20462,1.05099,0.000721645,0.000721645,0.000721645
52,204.629,0.89094,0.79183,0.90532,0.79347,0.63177,0.73822,0.47709,1.32979,2.04663,1.04891,0.000707498,0.000707498,0.000707498
53,208.5,0.85541,0.79046,0.90153,0.79347,0.63177,0.73822,0.47709,1.32979,2.04663,1.04891,0.000693351,0.000693351,0.000693351
54,212.807,0.90006,0.83474,0.91125,0.83828,0.68999,0.79718,0.53786,1.19826,1.87267,0.99368,0.000679204,0.000679204,0.000679204
55,215.929,0.81435,0.81069,0.92798,0.83828,0.68999,0.79718,0.53786,1.19826,1.87267,0.99368,0.000665057,0.000665057,0.000665057
56,219.187,0.80421,0.82794,0.90089,0.88069,0.70582,0.84053,0.6086,1.07962,1.72008,0.95209,0.000650909,0.000650909,0.000650909
57,222.343,0.84487,0.80432,0.90837,0.88069,0.70582,0.84053,0.6086,1.07962,1.72008,0.95209,0.000636762,0.000636762,0.000636762
58,225.55,0.84536,0.72813,0.92434,0.86127,0.75597,0.85365,0.6447,0.97757,1.59646,0.92327,0.000622615,0.000622615,0.000622615
59,228.92,0.77857,0.7497,0.89471,0.86127,0.75597,0.85365,0.6447,0.97757,1.59646,0.92327,0.000608468,0.000608468,0.000608468
60,232.381,0.83456,0.84085,0.92423,0.88989,0.74572,0.86488,0.61365,1.06083,1.52713,0.95964,0.000594321,0.000594321,0.000594321
61,236.117,0.75284,0.72929,0.91968,0.88989,0.74572,0.86488,0.61365,1.06083,1.52713,0.95964,0.000580174,0.000580174,0.000580174
62,239.841,0.77787,0.84112,0.96207,0.96224,0.7789,0.89228,0.61852,1.07543,1.37905,0.96826,0.000566027,0.000566027,0.000566027
63,243.764,0.72463,0.73247,0.87677,0.96224,0.7789,0.89228,0.61852,1.07543,1.37905,0.96826,0.00055188,0.00055188,0.00055188
64,247.996,0.83299,0.77794,0.91274,0.97763,0.79518,0.89131,0.67,0.96449,1.2632,0.93311,0.000537733,0.000537733,0.000537733
65,251.901,0.71816,0.69096,0.89093,0.97763,0.79518,0.89131,0.67,0.96449,1.2632,0.93311,0.000523586,0.000523586,0.000523586
66,255.844,0.74719,0.75219,0.90902,0.88042,0.77225,0.88834,0.7234,0.85877,1.15503,0.89962,0.000509438,0.000509438,0.000509438
67,259.851,0.65326,0.68657,0.85936,0.88042,0.77225,0.88834,0.7234,0.85877,1.15503,0.89962,0.000495291,0.000495291,0.000495291
68,264.014,0.83884,0.7642,0.93512,0.86178,0.82896,0.89317,0.73856,0.86473,1.10007,0.90712,0.000481144,0.000481144,0.000481144
69,267.84,0.76658,0.74738,0.91257,0.86178,0.82896,0.89317,0.73856,0.86473,1.10007,0.90712,0.000466997,0.000466997,0.000466997
70,271.763,0.86422,0.78005,0.94092,0.85729,0.81302,0.90804,0.69187,0.99764,1.02975,0.94664,0.00045285,0.00045285,0.00045285
71,275.807,0.82021,0.75312,0.93063,0.85729,0.81302,0.90804,0.69187,0.99764,1.02975,0.94664,0.000438703,0.000438703,0.000438703
72,280.055,0.7632,0.68331,0.88872,0.79591,0.87058,0.88762,0.67117,0.98925,0.99409,0.9342,0.000424556,0.000424556,0.000424556
73,284.29,0.73829,0.70875,0.88798,0.79591,0.87058,0.88762,0.67117,0.98925,0.99409,0.9342,0.000410409,0.000410409,0.000410409
